method,contrast_id,effect_type,program,k,estimate,se_hksj,ci_low,ci_high,p,tau2,i2,q,q_p,prediction_low,prediction_high,max_weight_fraction,direction_concordance,n_study_fdr_le_005,all_study_effects_same_sign,datasets,study_effects,study_fdr,meta_fdr
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,3,-1.2143060444526788,0.27471168615334268,-2.3962950307744362,-0.032317058130921339,0.047558336393152281,0,0,0.022696225926505408,0.98871603399240082,-4.7048489721368174,2.2762368832314603,0.48928567519610111,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-1.19298086966;GSE234774:-1.19301153711;GSE304399:-1.29466851104,GSE162610:0.171235137364;GSE234774:0.182256530603;GSE304399:0.434584465437,0.40197865787962078
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_P53_PATHWAY,3,-0.64338923165810236,0.23564774053122134,-1.6572996257140549,0.37052116239785005,0.11204646499511191,0,0,0.95636104103087316,0.61991028035733997,-3.6375776684647723,2.3507992051485673,0.43274687205127377,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-0.806612900312;GSE234774:-0.868535371633;GSE304399:-0.380847647348,GSE162610:0.52606954422;GSE234774:0.182256530603;GSE304399:0.79320491995,0.46686027081296627
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_ANGIOGENESIS,3,-0.58240546589041053,0.24076093498523896,-1.6183161600216815,0.45350522824086048,0.13670590814686187,0,0,0.63195280263053777,0.72907665521474607,-3.6415631982857013,2.4767522665048807,0.45674939688078636,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-0.444078772887;GSE234774:-0.787943507627;GSE304399:-0.350206311486,GSE162610:0.731677038255;GSE234774:0.182256530603;GSE304399:0.849605262796,0.46790365540159734
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_APICAL_JUNCTION,3,-0.62437415967911469,0.26240427373061725,-1.7534086243440798,0.50466030498585057,0.1403710966204792,0,0,0.21477980727394308,0.89817540285273201,-3.9585365853475647,2.7097882659893351,0.56914141799640494,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-0.356020294147;GSE234774:-0.708426993862;GSE304399:-0.593843120583,GSE162610:0.906531132276;GSE234774:0.182256530603;GSE304399:0.766214964474,0.46790365540159734
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_GLYCOLYSIS,3,-0.68054046385678435,0.26975823595109683,-1.8412164741441703,0.48013554643060175,0.12770886679552129,0,0,1.4142610379950975,0.49305698716274982,-4.1081438391207419,2.747062911407173,0.40522695849615464,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-0.294925776506;GSE234774:-0.801658722964;GSE304399:-1.11346441877,GSE162610:0.864574972541;GSE234774:0.182256530603;GSE304399:0.454692379893,0.46790365540159734
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_ESTROGEN_RESPONSE_LATE,3,-0.68318486834675873,0.34512913233465503,-2.1681556717025252,0.80178593500900797,0.18632123478221391,0.12176561801748695,26.499003341006912,2.7210515379525719,0.25652586814814426,-6.9193266733381247,5.5529569366446072,0.48872238634261234,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-0.0460069824269;GSE234774:-1.07990913779;GSE304399:-0.675754357921,GSE162610:0.947551037868;GSE234774:0.147368392185;GSE304399:0.811691567189,0.57128969392558959
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_UV_RESPONSE_UP,3,-0.58953351560860534,0.30639723094197857,-1.9078543977087858,0.72878736649157505,0.19423849593470044,0,0,1.3401156813322159,0.51167898107750498,-4.4826794625543851,3.3036124313371742,0.48199984963538528,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-0.144057669399;GSE234774:-0.936452772537;GSE304399:-0.48422760822,GSE162610:0.921373183737;GSE234774:0.182256530603;GSE304399:0.849605262796,0.57128969392558959
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,3,-0.61810541401082486,0.33837467316377356,-2.0740141251770172,0.8378032971553675,0.20927680524419182,0.15065963700015303,43.305919179570104,3.5277051343943717,0.17138332455471267,-7.1609626394567636,5.9247518114351143,0.39879469399915307,0.66666666666666663,0,False,GSE162610;GSE234774;GSE304399,GSE162610:0.0499696707682;GSE234774:-0.97337584405;GSE304399:-0.912994679936,GSE162610:0.947551037868;GSE234774:0.147368392185;GSE304399:0.484092491678,0.58132445901164387
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_PANCREAS_BETA_CELLS,3,-0.74699879471429376,0.45051406049061132,-2.6854043468747371,1.1914067574461493,0.23915451361062251,0,0,0.56322966285861575,0.7545642630073266,-6.4713226838333924,4.9773250944048044,0.41686141957686124,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-0.341186334796;GSE234774:-1.1311515437;GSE304399:-0.58767788381,GSE162610:0.921373183737;GSE234774:0.248733233819;GSE304399:0.849605262796,0.61387858897596093
centered_rank_mean,change_d7_minus_d1,temporal_delta,HALLMARK_PROTEIN_SECRETION,3,-0.45000044178132664,0.27682790420372305,-1.641094779474298,0.74109389591164487,0.24555143559038439,0,0,0.12164514475306898,0.94099018261724221,-3.9674324692799874,3.0674315857173338,0.61767192003291316,1,0,True,GSE162610;GSE234774;GSE304399,GSE162610:-0.574767934069;GSE234774:-0.571175140061;GSE304399:-0.374043359149,GSE162610:0.799709872713;GSE234774:0.450713670205;GSE304399:0.79320491995,0.61387858897596093
